,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
psmd8,0.788817862,gaussian_up,0.02260019,0.788817862,0.788817862,0.788817862,0.788817862,0.788817862,0.788817862,0.788817862,0.788817862,0.788817862,0.007888179,0.788817862,0.788817862
nr1h3,0.792571582,gaussian_up,0.010528076,0.792571582,0.792571582,0.792571582,0.792571582,0.792571582,0.792571582,0.792571582,0.792571582,0.792571582,0.007925716,0.792571582,0.792571582
hsd11b1la,0.88905924,linlog_up,0.022211075,0.88905924,0.88905924,0.88905924,0.88905924,0.88905924,0.88905924,0.88905924,0.88905924,0.88905924,0.008890592,0.88905924,0.88905924
tfap2a,1.00412748,lgaussian_up,0.017633523,1.00412748,1.00412748,1.00412748,1.00412748,1.00412748,1.00412748,1.00412748,1.00412748,1.00412748,0.010041275,1.00412748,1.00412748
sox9b,1.005302441,gaussian_up,0.040797821,1.005302441,1.005302441,1.005302441,1.005302441,1.005302441,1.005302441,1.005302441,1.005302441,1.005302441,0.010053024,1.005302441,1.005302441
agrn,1.065154355,lgaussian_up,0.019942204,1.065154355,1.065154355,1.065154355,1.065154355,1.065154355,1.065154355,1.065154355,1.065154355,1.065154355,0.010651544,1.065154355,1.065154355
sirt3,1.079008845,lgaussian_up,0.008176721,1.079008845,1.079008845,1.079008845,1.079008845,1.079008845,1.079008845,1.079008845,1.079008845,1.079008845,0.010790088,1.079008845,1.079008845
gsr,1.480994744,lgaussian_up,0.000453338,1.480994744,1.480994744,1.480994744,1.480994744,1.480994744,1.480994744,1.480994744,1.480994744,1.480994744,0.014809947,1.480994744,1.480994744
rorb,1.681647377,gaussian_up,0.012713715,1.681647377,1.681647377,1.681647377,1.681647377,1.681647377,1.681647377,1.681647377,1.681647377,1.681647377,0.016816474,1.681647377,1.681647377
rbm22,1.819920311,lgaussian_up,1.25E-06,1.819920311,1.819920311,1.819920311,1.819920311,1.819920311,1.819920311,1.819920311,1.819920311,1.819920311,0.018199203,1.819920311,1.819920311
aph1b,1.908852501,lgaussian_up,0.000880198,1.908852501,1.908852501,1.908852501,1.908852501,1.908852501,1.908852501,1.908852501,1.908852501,1.908852501,0.019088525,1.908852501,1.908852501
gstm,1.910146799,lgaussian_up,0.025087764,1.910146799,1.910146799,1.910146799,1.910146799,1.910146799,1.910146799,1.910146799,1.910146799,1.910146799,0.019101468,1.910146799,1.910146799
nup43,2.098908817,linlog_up,0.017662814,2.098908817,2.098908817,2.098908817,2.098908817,2.098908817,2.098908817,2.098908817,2.098908817,2.098908817,0.020989088,2.098908817,2.098908817
eef1a1l1,2.109914817,lgaussian_up,9.57E-05,2.109914817,2.109914817,2.109914817,2.109914817,2.109914817,2.109914817,2.109914817,2.109914817,2.109914817,0.021099148,2.109914817,2.109914817
cat,2.145443858,linear_down,0.013251043,2.145443858,2.145443858,2.145443858,2.145443858,2.145443858,2.145443858,2.145443858,2.145443858,2.145443858,0.021454439,2.145443858,2.145443858
