,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
polr2eb,0.001353277,lgaussian_up,0.007135523,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277,0.001353277
polr3d,0.449777489,lgaussian_up,0.004076755,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489,0.449777489
ppardb,0.044172691,lgaussian_up,0.047322256,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691,0.044172691
ppm1aa,123.5409773,lgaussian_up,0.014258008,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773,123.5409773
ppm1ab,1.94023E+16,lgaussian_up,0.004332746,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16,1.94023E+16
ppp2r1b,0.105397485,lgaussian_up,0.004873274,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485,0.105397485
pqbp1,0.067157539,lgaussian_up,0.000827957,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539,0.067157539
psmc1a,0.073338873,gaussian_up,0.003296172,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873,0.073338873
psmc6,0.005529598,lgaussian_up,0.020733139,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598,0.005529598
psmg1,0.028758779,lgaussian_up,0.003232794,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779,0.028758779
ptger2a,0.824168554,lgaussian_up,0.009212721,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554,0.824168554
ptges,0.006586803,lgaussian_up,0.027220938,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803,0.006586803
ptpn1,0.066234817,lgaussian_up,0.000370709,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817,0.066234817
ptpn13,0.115762594,lgaussian_up,0.021376181,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594,0.115762594
