Ensembl.Gene.ID,,Associated.Gene.Name,EntrezGene.ID
ENSDARG00000033596,,polr2c,334669
ENSDARG00000026726,,anxa1a,334724
ENSDARG00000004280,,seh1l,334749
ENSDARG00000036071,,gtf2h4,334839
ENSDARG00000022315,,atp6v1g1,335025
ENSDARG00000023323,,ywhaqb,335195
ENSDARG00000021120,,ndc1,335236
ENSDARG00000029818,,srsf5a,335396
ENSDARG00000027063,,arpc1b,335474
ENSDARG00000003961,,parp3,335495
ENSDARG00000006316,,rpl23a,335539
ENSDARG00000089043,,ptpn6,335573
ENSDARG00000027740,,adcyap1b,335625
ENSDARG00000101406,,rplp2,335629
ENSDARG00000019404,,atp5d,335709
ENSDARG00000025889,,usp14,335736
ENSDARG00000054907,,cox7a3,335751
ENSDARG00000022438,,cox6a1,335774
ENSDARG00000042644,,sod2,335799
ENSDARG00000099730,,pkma,335817
ENSDARG00000004754,,hspa4a,335865
ENSDARG00000043531,,jun,335916
ENSDARG00000005840,,got2b,335974
ENSDARG00000009724,,rpn2,335985
ENSDARG00000101626,,arf6a,336063
ENSDARG00000059368,,gria4b,336069
ENSDARG00000104537,,cox7c,336118
ENSDARG00000011665,,aldoaa,336425
ENSDARG00000021257,,eif3d,336498
ENSDARG00000039142,,arpc5a,336504
ENSDARG00000037159,,oprd1b,336529
ENSDARG00000025977,,blmh,336541
ENSDARG00000103007,,rps3,336550
ENSDARG00000010516,,rpl21,336568
ENSDARG00000032575,,ywhaz,336610
ENSDARG00000044345,,cyfip1,336613
ENSDARG00000010194,,eif4bb,336619
ENSDARG00000031435,,zgc-56493,336637
ENSDARG00000057556,,C21H18orf32,336641
ENSDARG00000009978,,icn,336655
ENSDARG00000037071,,rps26,336662
ENSDARG00000002344,,tubb4b,336681
ENSDARG00000036629,,rps14,336687
ENSDARG00000037350,,rpl9,336702
ENSDARG00000007320,,rpl7,336710
ENSDARG00000025581,,rpl10,336712
ENSDARG00000035871,,rpl30,336713
ENSDARG00000058451,,rpl6,336727
ENSDARG00000010160,,rps15a,336764
ENSDARG00000030537,,psmc1a,336786
ENSDARG00000053457,,rpl23,336812
ENSDARG00000044573,,cdc42,336839
ENSDARG00000045514,,atp5c1,336957
ENSDARG00000025820,,chek2,336998
ENSDARG00000036875,,rps12,337007
ENSDARG00000019230,,rpl7a,337010
ENSDARG00000054530,,rars,337070
ENSDARG00000041182,,rpl4,337090
ENSDARG00000070849,,rps15,337148
ENSDARG00000017676,,mmp2,337179
ENSDARG00000014165,,ssr3,337190
ENSDARG00000042708,,tuba8l,337223
ENSDARG00000059070,,gars,337230
ENSDARG00000100742,,reep5,337237
ENSDARG00000035692,,rps3a,337240
ENSDARG00000003941,,rrs1,337399
ENSDARG00000012222,,nup35,337461
ENSDARG00000040041,,mcm4,337598
ENSDARG00000021149,,cbr1l,337696
ENSDARG00000024433,,pvalb4,337731
ENSDARG00000032725,,rps27a,337810
ENSDARG00000021812,,cherp,337851
ENSDARG00000029524,,impdh1b,338306
ENSDARG00000101244,,gli1,352930
ENSDARG00000035732,,arntl1b,352935
ENSDARG00000094857,,dio2,352937
ENSDARG00000098612,,chrm2a,352938
ENSDARG00000029432,,tph1a,352943
